TST,C
1639,0.094
1647,0.036
1669,0.031
1658,0.07
1642,0.112
1671,0.039
1683,0.052
1677,0.063
1668,0.053
1688,0.054
1658,0.054
1651,0.05
1653,0.045
1698,0.06
1675,0.201
1651,0.096
1684,0.059
1683,0.061
1642,0.118
1652,0.055
1644,0.055
1604,0.72
1626,0.155
1636,0.108
1594,0.042
1609,0.175
1662,0.5
1639,0.68
1651,0.066
1659,0.039
1654,0.051
1637,0.059
1645,0.045
1618,0.05
1579,0.78
1684,0.048
1695,0.04
1699,0.041
1648,0.05
1600,0.35
1604,0.83
1688,0.46
1673,0.112
1671,0.047
1663,0.057
1599,0.126
1664,0.247
1608,0.96
1638,0.067
1642,0.093
1633,0.097
1621,0.104
1619,0.82
1684,0.045
1648,0.054
1628,0.054
1630,0.04
1655,0.035
1626,0.145
1643,0.087
1615,0.141
1654,0.27
1630,0.183
